"SPI","ISR","Ecc_X_1","Ecc_Y_1","Ecc_X_2","Ecc_Y_2","PGA","IDR_frame","IDR_masonry"
"7","2.5","0","0","0","0.1471","220","0.00893468888888889","0.00219987333333333"
"7","2.5","0","0","0","0.1471","35","0.000942826666666667","0.000284332666666667"
"7","2.5","0","0","0","0.2159","100","0.00351262222222222","0.000927476666666667"
"7","2.5","0","0","0","0.2159","220","0.0089382","0.00230399666666667"
"7","2.5","0","0","0","0.2159","35","0.000928926666666667","0.000272255333333333"
"7","2.5","0","0","0","0","100","0.00334933333333333","0.000923773333333333"
"7","2.5","0","0","0","0","220","0.00869184444444444","0.00215200666666667"
"7","2.5","0","0","0","0","35","0.000936622222222222","0.000286415"
"8","1","0.0684","0.0773","0","0","200","0.00460291111111111","0.00353463333333333"
"8","1","0.0684","0.0773","0","0","400","0.00973051111111111","0.0127107666666667"
"8","1","0.0684","0.0773","0","0","70","0.00101618888888889","0.00108016"
"8","1","0.0725","0","0","0","200","0.00468642222222222","0.00344613333333333"
"8","1","0.0725","0","0","0","400","0.00993875555555556","0.0127324666666667"
"8","1","0.0725","0","0","0","70","0.00104985555555556","0.00104831666666667"
"8","1","0.1148","0","0","0","200","0.00461213333333333","0.00369783333333333"
"8","1","0.1148","0","0","0","400","0.0100279777777778","0.0126357666666667"
"8","1","0.1148","0","0","0","70","0.00108572444444444","0.0010968"
"8","1","0.1814","0","0","0","200","0.00454846666666667","0.00387316666666667"
"8","1","0.1814","0","0","0","400","0.0106884","0.0131086333333333"
"8","1","0.1814","0","0","0","70","0.00113718888888889","0.00112673333333333"
"8","1","0.2168","0.1803","0","0","200","0.004567","0.00369683333333333"
"8","1","0.2168","0.1803","0","0","400","0.0108535333333333","0.0129164"
"8","1","0.2168","0.1803","0","0","70","0.00104245111111111","0.00108435333333333"
"8","1","0.2541","0.3054","0","0","200","0.00444875555555556","0.0035285"
"8","1","0.2541","0.3054","0","0","400","0.0107823777777778","0.0128227666666667"
"8","1","0.2541","0.3054","0","0","70","0.000971035555555556","0.000999923333333333"
"8","1","0","0.0768","0","0","200","0.00460988888888889","0.00336256666666667"
"8","1","0","0.0768","0","0","400","0.00956237777777778","0.0125516333333333"
"8","1","0","0.0768","0","0","70","0.00107476222222222","0.00112676666666667"
"8","1","0","0.1344","0","0","200","0.00454768888888889","0.00329874"
"8","1","0","0.1344","0","0","400","0.00974973333333333","0.0122524"
"8","1","0","0.1344","0","0","70","0.00101501111111111","0.00109814333333333"
"8","1","0","0.2225","0","0","200","0.00461068888888889","0.00330967"
"8","1","0","0.2225","0","0","400","0.00950535555555556","0.0123510666666667"
"8","1","0","0.2225","0","0","70","0.000912846666666667","0.00105560666666667"
"8","1","0","0","0.032","0.1162","200","0.00458686666666667","0.00360143333333333"
"8","1","0","0","0.032","0.1162","400","0.00942108888888889","0.0137324666666667"
"8","1","0","0","0.032","0.1162","70","0.00108112666666667","0.00112943"
"8","1","0","0","0.0372","0.0851","200","0.00459233333333333","0.00353623333333333"
"8","1","0","0","0.0372","0.0851","400","0.00945246666666667","0.0133898333333333"
"8","1","0","0","0.0372","0.0851","70","0.00107036444444444","0.00113055"
"8","1","0","0","0.0511","0.2129","200","0.00449835555555556","0.00414096666666667"
"8","1","0","0","0.0511","0.2129","400","0.00931046666666667","0.0138925"
"8","1","0","0","0.0511","0.2129","70","0.00104145111111111","0.00118547333333333"
"8","1","0","0","0.0776","0","200","0.00459526666666667","0.00338963333333333"
"8","1","0","0","0.0776","0","400","0.00949922222222222","0.0133369333333333"
"8","1","0","0","0.0776","0","70","0.00109092666666667","0.00108945333333333"
"8","1","0","0","0.0781","0","200","0.00452284444444444","0.00353396666666667"
"8","1","0","0","0.0781","0","400","0.00927237777777778","0.0128574"
"8","1","0","0","0.0781","0","70","0.00104429555555556","0.00110138333333333"
"8","1","0","0","0.1283","0","200","0.00432611111111111","0.00376963333333333"
"8","1","0","0","0.1283","0","400","0.00904024444444444","0.0131939333333333"
"8","1","0","0","0.1283","0","70","0.00102082888888889","0.00113702333333333"
